Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,30.3,30.3,30.3,30.3,0,30.3
2016-01-04,29.9,30.1,28.8,30.0,719100,30.0
2016-01-05,29.8,29.8,28.3,28.4,690300,28.4
2016-01-06,28.2,28.2,26.2,26.6,1429300,26.6
2016-01-07,25.4,25.8,24.6,25.3,1455600,25.3
2016-01-08,25.3,26.7,23.8,23.8,1203000,23.8
